Site Id,Site Name,Latitude,Longitude,Easting,Northing,Zone,Gauge Zero (Ahd),Site Start Date,Site Cease Date,Drainage Area (Sq.Km)
225716,CENTRAL GIPPSLAND 1/2 DRAIN 3 @ DROP STRUCTURE (RD500),-38.08531453,146.9030741,491500,5784700,55,0,24/2/1980,4/2/2004,0
225717,CENTRAL GIPPSLAND 2/3 DRAIN @ US OF DRAIN 3 (RD 500M),-38.09398994,146.8985237,491102,5783737,55,0,24/2/1980,15/4/2005,0
225721,CENTRAL GIPPSLAND DRAIN NO 3/3 U/S OUTFALL,-38.05236525,146.8523968,487050,5788350,55,0,29/5/2000,13/2/2004,0
225722,CENTRAL GIPPSLAND DRAIN NO 3 D/S NO3 O/FALL,-38.05281661,146.8529658,487100,5788300,55,0,29/5/2000,13/2/2004,0
225723,CENTRAL GIPPSLAND DRAIN NO 1/3 @ D/S 11/4/1 JUNCTION,-38.08617875,146.8654424,488200,5784600,55,0,29/5/2000,13/2/2004,0
225724,CHANNEL O/FALL 11/4/1 U/S JUNCTION CG DR 1/3,-38.08707936,146.8648706,488150,5784500,55,0,29/5/2000,15/4/2005,0
225725,CENTRAL GIPPSLAND DRAIN NO 3 D/S O/FALL 11/1,-38.09611878,146.8905146,490400,5783500,55,0,26/5/2000,15/4/2005,0
225726,CENTRAL GIPPSLAND DRAIN NO 3 D/S RAILWAY LINE,-38.11144653,146.897336,491000,5781800,55,0,29/5/2000,15/4/2005,0
225727,CENTRAL GIPPSLAND DRAIN NO 2/3 @ SOLDIERS RD,-38.07718883,146.8871223,490100,5785600,55,0,26/5/2000,13/2/2004,0
225747,NOBLES O/FALL @ VALENCIA CK,-37.82761047,146.983671,498563,5813297,55,0,24/2/2004,1/7/2005,0
226005,LATROBE RIVER @ THOMS BRIDGE,-38.166772,146.4097,448290.419,5775501.723,55,0,24/5/1960,,2657
226007,TYERS RIVER @ BROWNS,-38.04843951,146.3557807,443476,5788600,55,169.359,17/8/1961,,207
226008,TYERS RIVER WEST BRANCH @ MORGANS MILL,-37.94434539,146.3086626,439256,5800120,55,0,27/4/1960,,80
226017,JACOBS CREEK @ O'TOOLES,-38.0518048,146.3885082,446350,5788246,55,0,16/4/1962,,36
226021,NARRACAN CREEK @ MOE,-38.16300439,146.2690819,435969,5775832,55,0,26/6/1996,,0
226027,LA TROBE RIVER @ SWING BRIDGE,-38.14491292,147.127818,511200,5778084,55,0,7/5/2010,,0
226028,TYERS R @ PUMP HOUSE,-38.13938877,146.4465805,451503,5778560,55,0,12/4/1990,,0
226033,LA TROBE RIVER @ SCARNES BRIDGE,-38.15352886,146.5521632,460763,5777041,55,21.185,20/12/1996,13/5/2013,0
226041,LAKE WELLINGTON @ BULL BAY,-38.1233752,147.3750806,532876,5780415,55,0,19/3/1975,,0
226204,LATROBE RIVER @ WILLOW GROVE,-38.08850552,146.1596572,426308,5784017,55,0,23/10/1924,,580
226205,LATROBE RIVER @ NOOJEE,-37.90701017,146.0221188,414035,5804037,55,0,13/5/1925,,290
226209,MOE RIVER @ DARNUM,-38.20566815,146.0021236,412633,5770880,55,79.598,12/9/1949,,225
226216,TANJIL RIVER @ TANJIL SOUTH,-38.09467319,146.2422901,433560,5783395,55,69.245,5/4/1955,,358
226220,LOCH RIVER @ NOOJEE,-37.86668554,146.0068379,412644,5808497,55,0,6/3/1957,,106
226222,LATROBE RIVER @ NEAR NOOJEE (US ADA R JUNCT.),-37.8822443,145.8929853,402650,5806658,55,272.304,10/5/1971,,62
226226,TANJIL RIVER @ TANJIL JUNCTION,-37.97984217,146.193315,429155,5796100,55,0,25/5/1960,,289
226227,LATROBE RIVER @ KILMANY SOUTH,-38.13921347,146.9189788,492900,5778721,55,2.571,16/12/1976,,4464
226228,LATROBE RIVER @ ROSEDALE (MAIN STREAM),-38.14239142,146.7917096,481748,5778351,55,9.7,1/12/1936,,4144
226229,TANJIL RIVER @ D/S OF BLUE ROCK DAM,-38.08333333,146.2333333,432764.2,5784646.8,55,75.315,11/5/1979,28/2/1982,352
226235,TYERS RIVER @ TYERS JUNCTION,-37.96182377,146.3341122,441506,5798197,55,0,5/10/2001,,132.2
226237,TRARALGON CK @ MATTINGLY'S HILL RD,-38.22758,146.5397,459711.9,5768819.2,55,,1/1/2000,2/1/2000,
226241,LATROBE R 1 KM U/S L5 (LOY YANG 3),-38.17572,146.33958,442155,5774467.4,55,,14/4/2003,30/6/2007,
226242,TRARALGON CK D/S LOY YANG NW RUNOFF (LOY YANG 2),-38.25147,146.54298,460012,5766169.8,55,,14/4/2003,30/6/2007,
226243,LATROBE R @ STH GIPPSLAND HWY (SALE),-38.15100118,147.0822098,507203,5777413,55,0,16/12/1996,1/9/2013,0
226244,TYERS R EAST BRANCH @ CORRINGAL SCOUT CAMP,-37.95904734,146.3340234,441496,5798505,55,0,10/8/2004,18/9/2008,0
226245,TYERS R WEST BRANCH U/S SOUTH FACE RD,-37.87894997,146.2759689,436327,5807354,55,0,1/11/2004,24/2/2009,0
226246,TYERS R WEST BRANCH D/S SOUTH FACE RD,-37.87999012,146.273639,436123,5807237,55,0,28/10/2004,24/2/2009,0
226247,HOPE CK U/S SOUTHFACE ROAD BRIDGE,-37.85470583,146.2529715,434283,5810028,55,0,26/3/2007,24/2/2009,0
226248,HOPE CK D/S SOUTHFACE ROAD BRIDGE,-37.85504715,146.2527862,434267,5809990,55,0,26/3/2007,24/2/2009,0
226250,LATROBE RIVER @ DOWD'S MORASS,-38.14313192,147.1722768,515096,5778290,55,,15/10/2013,20/7/2016,
226251,LATROBE RIVER @ HEART MORASS,-38.139872,147.150986,513232.223,5778637.157,55,,15/10/2013,25/11/2014,
226252,LATROBE RIVER AT DOWDS MORASS GATE,-38.14590002,147.1016855,508910,5777992,55,,25/11/2014,20/7/2016,
226253,TRIGGER CREEK @ GIPPSLAND WATER SYPHON,-37.90305833,146.3686167,444493.06,5804752.899,55,,30/5/2016,,
226402,MOE DRAIN @ TRAFALGAR EAST,-38.17598946,146.2130207,431070,5774351,55,0,7/6/1957,,622
226407,MORWELL RIVER @ BOOLARRA,-38.40696156,146.3053661,439351,5748787,55,98.302,6/10/1958,,114
226408,MORWELL R @ YALLOURN,-38.215146,146.368318,444702,5770110.4,55,0,9/2/1943,,622
226415,TRARALGON CREEK @ TRARALGON SOUTH (JONES RD),-38.2698709,146.5404981,459805,5764127,55,60,4/6/1974,,128
226600,LAKE COLEMAN @ DUTSTON DOWNS,-38.183333,147.33333,529192.6,5773776.3,55,,27/5/1993,22/7/1996,
226601,LAKE NARRACAN @ NARRACAN EAST,-38.15,146.316667,440127,5777306.7,55,,27/6/1993,22/7/1996,
226602,AREA 2 SITE1 @ DOWDS MORASS NTH,-38.14802742,147.1826474,516003.73,5777730.39,55,-0.016,17/6/2003,,0
226610,LAKE WELLINGTON @ LIGHT PILE,-38.11771093,147.2373117,520802,5781098,55,,28/11/2013,20/7/2016,
226611,HEART MORASS @ RICKETY BRIDGE,-38.13263039,147.1795568,515736.24,5779439.3,55,,21/2/2017,,
226612,HEART MORASS,-38.14477,147.12793,511209.798,5778114.535,55,,1/7/2017,9/5/2019,
