"Date","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"00:00:00 23/12/1996",NA,NA,114,1,7.6,1,NA,NA,NA,NA,0.063,1,NA,NA,NA,NA,NA,NA,NA,NA,7.1,1
"00:00:00 24/03/1997",NA,NA,80,1,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,1
"00:00:00 28/01/1997",NA,NA,53,1,8.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1
"00:14:00 18/11/1997",NA,NA,63,1,9.2,1,NA,NA,NA,NA,NA,NA,NA,NA,0.035,1,NA,NA,NA,NA,NA,NA
"06:20:00 06/03/1997",NA,NA,70,1,9,1,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1,NA,NA,NA,NA,6.93,1
"07:10:00 09/11/1998",NA,NA,68,1,8.73,1,NA,NA,NA,NA,NA,NA,0.15,1,0.011,1,NA,NA,NA,NA,NA,NA
"07:12:00 14/12/1998",NA,NA,71,1,7.79,1,NA,NA,NA,NA,NA,NA,0.16,1,0.011,1,NA,NA,NA,NA,NA,NA
"07:16:00 28/08/2000",NA,NA,78,1,11.79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07:21:00 26/10/1998",NA,NA,83,1,9,1,NA,NA,NA,NA,NA,NA,0.16,1,0.017,1,NA,NA,NA,NA,NA,NA
"07:23:00 15/03/1999",NA,NA,60,1,8.49,1,NA,NA,NA,NA,NA,NA,0.17,1,0.011,1,NA,NA,NA,NA,NA,NA
"07:23:00 30/11/1998",NA,NA,75,1,9.28,1,NA,NA,NA,NA,NA,NA,0.11,1,0.014,1,NA,NA,NA,NA,NA,NA
"07:25:00 22/03/1999",NA,NA,53,1,8.58,1,NA,NA,NA,NA,NA,NA,0.17,1,0.011,1,NA,NA,NA,NA,NA,NA
"07:30:00 03/07/1997",NA,NA,71,1,8.7,1,NA,NA,NA,NA,NA,NA,NA,NA,0.016,1,NA,NA,NA,NA,7.08,1
"07:30:00 04/01/2000",NA,NA,57,1,9.19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07:30:00 07/12/1998",NA,NA,74,1,8.74,1,NA,NA,NA,NA,NA,NA,0.12,1,0.009,1,NA,NA,NA,NA,NA,NA
"07:30:00 30/04/1997",NA,NA,51,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,0.016,1,NA,NA,NA,NA,6.86,1
"07:35:00 07/04/1997",NA,NA,30,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1,NA,NA,NA,NA,7.28,1
"07:40:00 06/05/2000",NA,NA,93,1,10.56,1,NA,NA,NA,NA,NA,NA,0.62,1,0.024,1,NA,NA,NA,NA,NA,NA
"07:43:00 28/12/1998",NA,NA,87,1,9.8,1,NA,NA,NA,NA,NA,NA,0.4,1,0.022,1,NA,NA,NA,NA,NA,NA
"07:50:00 08/11/1999",NA,NA,55,1,9.22,1,NA,NA,NA,NA,NA,NA,0.19,1,0.013,1,NA,NA,NA,NA,NA,NA
"08:00:00 15/05/2000",NA,NA,70,1,10.92,1,NA,NA,NA,NA,NA,NA,0.25,1,0.013,1,NA,NA,NA,NA,NA,NA
"08:00:00 18/10/1999",NA,NA,65,1,9.38,1,NA,NA,NA,NA,NA,NA,0.22,1,0.02,1,NA,NA,NA,NA,NA,NA
"08:00:00 20/03/2000",NA,NA,57,1,8.64,1,NA,NA,NA,NA,NA,NA,0.25,1,0.024,1,NA,NA,NA,NA,NA,NA
"08:00:00 20/09/1999",NA,NA,47,1,NA,NA,NA,NA,NA,NA,NA,NA,0.17,1,0.01,1,NA,NA,NA,NA,NA,NA
"08:00:00 20/12/1999",NA,NA,53,1,9.71,1,NA,NA,NA,NA,NA,NA,0.19,1,0.012,1,NA,NA,NA,NA,NA,NA
"08:00:00 25/10/1999",NA,NA,55,1,10.24,1,NA,NA,NA,NA,NA,NA,0.26,1,0.013,1,NA,NA,NA,NA,NA,NA
"08:00:00 27/09/1999",NA,NA,47,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25,1,0.017,1,NA,NA,NA,NA,NA,NA
"08:02:00 10/04/2000",NA,NA,49,1,9.81,1,NA,NA,NA,NA,NA,NA,0.22,1,0.011,1,NA,NA,NA,NA,NA,NA
"08:02:00 28/12/1999",NA,NA,56,1,8.77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:03:00 13/09/1999",NA,NA,46,1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.01,1,NA,NA,NA,NA,NA,NA
"08:04:00 08/05/2000",NA,NA,88,1,10.54,1,NA,NA,NA,NA,NA,NA,0.49,1,0.033,1,NA,NA,NA,NA,NA,NA
"08:04:00 10/05/1999",NA,NA,51,1,10.95,1,NA,NA,NA,NA,NA,NA,0.1,1,0.006,1,NA,NA,NA,NA,NA,NA
"08:05:00 27/03/2000",NA,NA,45,1,9.8,1,NA,NA,NA,NA,NA,NA,0.25,1,0.01,1,NA,NA,NA,NA,NA,NA
"08:05:00 29/03/1999",NA,NA,59,1,9.11,1,NA,NA,NA,NA,NA,NA,0.18,1,0.012,1,NA,NA,NA,NA,NA,NA
"08:06:00 26/07/1999",NA,NA,52,1,NA,NA,NA,NA,NA,NA,NA,NA,0.26,1,0.013,1,NA,NA,NA,NA,NA,NA
"08:08:00 13/12/1999",NA,NA,50,1,9.72,1,NA,NA,NA,NA,NA,NA,0.19,1,0.011,1,NA,NA,NA,NA,NA,NA
"08:08:00 17/04/2000",NA,NA,47,1,9.74,1,NA,NA,NA,NA,NA,NA,0.23,1,0.01,1,NA,NA,NA,NA,NA,NA
"08:09:00 16/08/1999",NA,NA,61,1,NA,NA,NA,NA,NA,NA,NA,NA,0.18,1,0.008,1,NA,NA,NA,NA,NA,NA
"08:10:00 06/12/1999",NA,NA,56,1,8.9,1,NA,NA,NA,NA,NA,NA,0.23,1,0.025,1,NA,NA,NA,NA,NA,NA
"08:10:00 19/07/1999",NA,NA,57,1,NA,NA,NA,NA,NA,NA,NA,NA,0.21,1,0.009,1,NA,NA,NA,NA,NA,NA
"08:15:00 05/07/1999",NA,NA,51,1,10.49,1,NA,NA,NA,NA,NA,NA,0.18,1,0.014,1,NA,NA,NA,NA,NA,NA
"08:15:00 26/06/2000",NA,NA,74,1,12.23,1,NA,NA,NA,NA,NA,NA,0.16,1,0.008,1,NA,NA,NA,NA,NA,NA
"08:17:00 12/04/1999",NA,NA,58,1,9.43,1,NA,NA,NA,NA,NA,NA,0.16,1,0.015,1,NA,NA,NA,NA,NA,NA
"08:17:00 15/11/1999",NA,NA,60,1,9.17,1,NA,NA,NA,NA,NA,NA,0.18,1,0.008,1,NA,NA,NA,NA,NA,NA
"08:18:00 05/03/2000",NA,NA,47,1,10.2,1,NA,NA,NA,NA,NA,NA,0.27,1,0.046,1,NA,NA,NA,NA,NA,NA
"08:18:00 07/08/2000",NA,NA,74,1,12.74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:18:00 12/07/1999",NA,NA,44,1,8.4,1,NA,NA,NA,NA,NA,NA,0.24,1,0.012,1,NA,NA,NA,NA,NA,NA
"08:18:00 22/11/1999",NA,NA,57,1,9.09,1,NA,NA,NA,NA,NA,NA,0.22,1,0.011,1,NA,NA,NA,NA,NA,NA
"08:18:00 24/07/2000",NA,NA,67,1,12.16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:20:00 10/07/2000",NA,NA,67,1,12.07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:20:00 14/08/2000",NA,NA,70,1,11.85,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:23:00 16/05/1999",NA,NA,48,1,11.2,1,NA,NA,NA,NA,NA,NA,0.12,1,0.005,1,NA,NA,NA,NA,NA,NA
"08:25:00 01/05/2000",NA,NA,45,1,10.65,1,NA,NA,NA,NA,NA,NA,0.23,1,0.03,1,NA,NA,NA,NA,NA,NA
"08:25:00 19/10/1998",NA,NA,70,1,9.26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:25:00 31/07/2000",NA,NA,85,1,12.44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:26:00 09/08/1999",NA,NA,45,1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,0.007,1,NA,NA,NA,NA,NA,NA
"08:26:00 17/07/2000",NA,NA,119,1,12.47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:28:00 06/09/1999",NA,NA,54,1,NA,NA,NA,NA,NA,NA,NA,NA,0.18,1,0.013,1,NA,NA,NA,NA,NA,NA
"08:28:00 21/02/1999",NA,NA,63,1,8.29,1,NA,NA,NA,NA,NA,NA,0.22,1,0.009,1,NA,NA,NA,NA,NA,NA
"08:30:00 07/06/1999",NA,NA,55,1,10.35,1,NA,NA,NA,NA,NA,NA,0.23,1,0.012,1,NA,NA,NA,NA,NA,NA
"08:30:00 19/06/2000",NA,NA,79,1,12.34,1,NA,NA,NA,NA,NA,NA,0.19,1,0.013,1,NA,NA,NA,NA,NA,NA
"08:30:00 24/04/2000",NA,NA,51,1,10.51,1,NA,NA,NA,NA,NA,NA,0.2,1,0.008,1,NA,NA,NA,NA,NA,NA
"08:35:00 21/06/1999",NA,NA,52,1,NA,NA,NA,NA,NA,NA,NA,NA,0.16,1,0.014,1,NA,NA,NA,NA,NA,NA
"08:35:00 28/06/1999",NA,NA,52,1,9.2,1,NA,NA,NA,NA,NA,NA,0.15,1,0.007,1,NA,NA,NA,NA,NA,NA
"08:37:00 17/01/1999",NA,NA,84,1,7.26,1,NA,NA,NA,NA,NA,NA,0.11,1,0.008,1,NA,NA,NA,NA,NA,NA
"08:42:00 29/12/1999",NA,NA,56,1,8.82,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:50:00 16/04/1997",NA,NA,30,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1,NA,NA,NA,NA,7.29,1
"09:00:00 03/07/2000",NA,NA,71,1,11.76,1,NA,NA,NA,NA,NA,NA,0.12,1,0.005,1,NA,NA,NA,NA,NA,NA
"09:00:00 11/10/1999",NA,NA,54,1,9.71,1,NA,NA,NA,NA,NA,NA,0.24,1,0.011,1,NA,NA,NA,NA,NA,NA
"09:00:00 16/09/1997",NA,NA,61,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,NA,NA,NA,NA,7.44,1
"09:12:00 05/06/2000",NA,NA,107,1,11.22,1,NA,NA,NA,NA,NA,NA,0.36,1,0.027,1,NA,NA,NA,NA,NA,NA
"09:14:00 20/02/2000",NA,NA,54,1,8.12,1,NA,NA,NA,NA,NA,NA,0.22,1,0.015,1,NA,NA,NA,NA,NA,NA
"09:15:00 28/10/1997",NA,NA,53,1,9.4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.13,1,NA,NA,NA,NA,7.81,1
"09:20:00 07/07/1998",NA,NA,79,1,12.07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65,1
"09:27:00 27/02/2000",NA,NA,52,1,8.56,1,NA,NA,NA,NA,NA,NA,0.26,1,0.014,1,NA,NA,NA,NA,NA,NA
"09:32:00 18/04/1999",NA,NA,54,1,9.67,1,NA,NA,NA,NA,NA,NA,0.23,1,0.011,1,NA,NA,NA,NA,NA,NA
"09:45:00 27/01/1998",NA,NA,57,1,8.7,1,NA,NA,NA,NA,NA,NA,NA,NA,0.026,1,NA,NA,NA,NA,6.83,1
"09:55:00 12/10/1998",NA,NA,77,1,10.74,1,NA,NA,NA,NA,NA,NA,0.19,1,0.02,1,NA,NA,NA,NA,NA,NA
"09:55:00 13/01/1998",NA,NA,53,1,7.4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,7.05,1
"10:00:00 04/10/1999",NA,NA,57,1,NA,NA,NA,NA,NA,NA,NA,NA,0.3,1,0.015,1,NA,NA,NA,NA,NA,NA
"10:00:00 24/02/1998",NA,NA,62,1,8.8,1,NA,NA,NA,NA,NA,NA,NA,NA,0.007,1,NA,NA,NA,NA,7.29,1
"10:03:00 13/03/2000",NA,NA,52,1,9.07,1,NA,NA,NA,NA,NA,NA,0.26,1,0.02,1,NA,NA,NA,NA,NA,NA
"10:19:00 22/05/2000",NA,NA,58,1,11.74,1,NA,NA,NA,NA,NA,NA,0.2,1,0.008,1,NA,NA,NA,NA,NA,NA
"10:19:00 31/01/2000",NA,NA,63,1,8.81,1,NA,NA,NA,NA,NA,NA,0.23,1,0.012,1,NA,NA,NA,NA,NA,NA
"10:39:00 22/11/1998",NA,NA,73,1,9.64,1,NA,NA,NA,NA,NA,NA,0.13,1,0.009,1,NA,NA,NA,NA,NA,NA
"10:45:00 22/05/1997",NA,NA,69,1,7.6,1,NA,NA,NA,NA,NA,NA,NA,NA,0.026,1,NA,NA,NA,NA,7.82,1
"10:45:00 31/03/1998",NA,NA,66,1,9.3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.123,1,NA,NA,NA,NA,7.28,1
"10:57:00 07/02/2000",NA,NA,48,1,9.34,1,NA,NA,NA,NA,NA,NA,0.23,1,0.016,1,NA,NA,NA,NA,NA,NA
"10:58:00 14/04/1998",NA,NA,54,1,9.8,1,NA,NA,NA,NA,NA,NA,NA,NA,0.019,1,NA,NA,NA,NA,6.9,1
"11:00:00 20/06/1997",NA,NA,57,1,10.1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,7.17,1
"11:00:00 25/04/1999",NA,NA,53,1,10.46,1,NA,NA,NA,NA,NA,NA,0.2,1,0.012,1,NA,NA,NA,NA,NA,NA
"11:20:00 04/08/1998",NA,NA,67,1,11.74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.94,1
"11:25:00 21/12/1998",NA,NA,91,1,8.5,1,NA,NA,NA,NA,NA,NA,0.15,1,0.008,1,NA,NA,NA,NA,NA,NA
"11:27:00 14/09/1998",NA,NA,45,1,10.44,1,NA,NA,NA,NA,NA,NA,0.19,1,0.016,1,NA,NA,NA,NA,NA,NA
"11:30:00 11/08/1998",NA,NA,76,1,11.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11:30:00 20/05/1997",NA,NA,59,1,9.6,1,NA,NA,NA,NA,NA,NA,NA,NA,0.033,1,NA,NA,NA,NA,6.34,1
"11:30:00 28/07/1998",NA,NA,70,1,11.11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11:46:00 21/09/1998",NA,NA,71,1,10.66,1,NA,NA,NA,NA,NA,NA,0.21,1,0.017,1,NA,NA,NA,NA,NA,NA
"11:54:00 05/05/2000",NA,NA,58,1,10.08,1,NA,NA,NA,NA,NA,NA,0.39,1,0.022,1,NA,NA,NA,NA,NA,NA
"12:04:00 03/01/1999",NA,NA,86,1,7.36,1,NA,NA,NA,NA,NA,NA,0.22,1,0.014,1,NA,NA,NA,NA,NA,NA
"12:06:00 30/12/1999",NA,NA,61,1,9.79,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12:11:00 16/11/1998",NA,NA,78,1,10.02,1,NA,NA,NA,NA,NA,NA,0.37,1,0.048,1,NA,NA,NA,NA,NA,NA
"12:21:00 28/09/1998",NA,NA,64,1,10.61,1,NA,NA,NA,NA,NA,NA,0.22,1,0.014,1,NA,NA,NA,NA,NA,NA
"12:30:00 01/07/1997",NA,NA,78,1,8.8,1,NA,NA,NA,NA,NA,NA,NA,NA,0.023,1,NA,NA,NA,NA,7.18,1
"12:30:00 09/12/1997",NA,NA,52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,7.22,1
"12:30:00 10/07/1997",NA,NA,73,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,1,NA,NA,NA,NA,7.82,1
"12:30:00 14/08/1997",NA,NA,66,1,9.4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.013,1,NA,NA,NA,NA,7.72,1
"12:30:00 16/06/1997",NA,NA,NA,NA,8.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0.02,1,NA,NA,NA,NA,NA,NA
"12:30:00 17/06/1997",NA,NA,53,1,8.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,6.17,1
"12:45:00 27/05/1997",NA,NA,352,1,6.9,1,NA,NA,NA,NA,NA,NA,NA,NA,0.029,1,NA,NA,NA,NA,7.33,1
"12:45:00 28/02/1999",NA,NA,63,1,8.36,1,NA,NA,NA,NA,NA,NA,0.81,1,0.012,1,NA,NA,NA,NA,NA,NA
"12:50:00 28/08/1997",NA,NA,70,1,8.4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.036,1,NA,NA,NA,NA,7.27,1
"12:55:00 28/07/1997",NA,NA,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033,1,NA,NA,NA,NA,7.17,1
"13:00:00 05/08/1997",NA,NA,59,1,10.4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,7.74,1
"13:00:00 16/07/1997",NA,NA,59,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,7.4,1
"13:00:00 25/11/1997",NA,NA,56,1,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0.03,1,NA,NA,NA,NA,6.7,1
"13:15:00 23/07/1997",NA,NA,57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,1,NA,NA,NA,NA,6.91,1
"13:20:00 29/05/2000",NA,NA,76,1,NA,NA,NA,NA,NA,NA,NA,NA,0.19,1,0.014,1,NA,NA,NA,NA,NA,NA
"13:26:00 13/02/2000",NA,NA,45,1,9.76,1,NA,NA,NA,NA,NA,NA,0.26,1,0.018,1,NA,NA,NA,NA,NA,NA
"13:30:00 05/06/1997",NA,NA,58,1,8.4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.013,1,NA,NA,NA,NA,6.84,1
"13:30:00 08/10/1997",NA,NA,60,1,7.9,1,NA,NA,NA,NA,NA,NA,NA,NA,0.029,1,NA,NA,NA,NA,7.84,1
"13:30:00 14/05/1997",NA,NA,53,1,11,1,NA,NA,NA,NA,NA,NA,NA,NA,0.013,1,NA,NA,NA,NA,7.12,1
"13:30:00 20/08/2000",NA,NA,72,1,12.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13:30:00 24/09/1997",NA,NA,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,1,NA,NA,NA,NA,7.52,1
"13:35:00 11/06/2000",NA,NA,96,1,NA,NA,NA,NA,NA,NA,NA,NA,0.24,1,0.017,1,NA,NA,NA,NA,NA,NA
"13:35:00 31/01/1999",NA,NA,89,1,7.87,1,NA,NA,NA,NA,NA,NA,0.27,1,0.015,1,NA,NA,NA,NA,NA,NA
"13:36:00 16/01/2000",NA,NA,68,1,8.06,1,NA,NA,NA,NA,NA,NA,0.23,1,0.015,1,NA,NA,NA,NA,NA,NA
"13:40:00 09/04/1997",NA,NA,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1,NA,NA,NA,NA,7.33,1
"13:45:00 06/05/1997",NA,NA,51,1,9,1,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,NA,NA,NA,NA,6.95,1
"13:46:00 23/01/2000",NA,NA,54,1,9.88,1,NA,NA,NA,NA,NA,NA,0.17,1,0.01,1,NA,NA,NA,NA,NA,NA
"13:50:00 01/11/1998",NA,NA,74,1,10.23,1,NA,NA,NA,NA,NA,NA,0.18,1,0.008,1,NA,NA,NA,NA,NA,NA
"14:00:00 02/04/2000",NA,NA,46,1,10.11,1,NA,NA,NA,NA,NA,NA,0.24,1,0.015,1,NA,NA,NA,NA,NA,NA
"14:00:00 18/06/1997",NA,NA,56,1,8.2,1,NA,NA,NA,NA,NA,NA,NA,NA,0.082,1,NA,NA,NA,NA,6.97,1
"14:02:00 24/01/1999",NA,NA,65,1,8.21,1,NA,NA,NA,NA,NA,NA,0.23,1,0.009,1,NA,NA,NA,NA,NA,NA
"14:10:00 14/02/1999",NA,NA,74,1,7.44,1,NA,NA,NA,NA,NA,NA,0.6,1,0.013,1,NA,NA,NA,NA,NA,NA
"14:10:00 18/03/1997",NA,NA,30,1,9,1,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1,NA,NA,NA,NA,7.4,1
"14:13:00 07/05/2000",NA,NA,91,1,10.68,1,NA,NA,NA,NA,NA,NA,0.55,1,0.03,1,NA,NA,NA,NA,NA,NA
"14:15:00 09/01/2000",NA,NA,62,1,9.36,1,NA,NA,NA,NA,NA,NA,0.28,1,0.015,1,NA,NA,NA,NA,NA,NA
"14:20:00 07/03/1999",NA,NA,73,1,7.9,1,NA,NA,NA,NA,NA,NA,0.31,1,0.016,1,NA,NA,NA,NA,NA,NA
"14:20:00 11/03/1997",NA,NA,30,1,9,1,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1,NA,NA,NA,NA,7.2,1
"14:26:00 10/01/1999",NA,NA,89,1,9.14,1,NA,NA,NA,NA,NA,NA,0.53,1,0.032,1,NA,NA,NA,NA,NA,NA
"14:30:00 16/10/1997",NA,NA,61,1,7.8,1,NA,NA,NA,NA,NA,NA,NA,NA,0.019,1,NA,NA,NA,NA,6.92,1
"14:36:00 13/06/1999",NA,NA,50,1,11.34,1,NA,NA,NA,NA,NA,NA,0.24,1,0.019,1,NA,NA,NA,NA,NA,NA
"14:42:00 07/02/1999",NA,NA,69,1,7.77,1,NA,NA,NA,NA,NA,NA,0.16,1,0.008,1,NA,NA,NA,NA,NA,NA
"14:45:00 04/04/1999",NA,NA,66,1,9.32,1,NA,NA,NA,NA,NA,NA,0.12,1,0.011,1,NA,NA,NA,NA,NA,NA
"14:49:00 02/05/1999",NA,NA,55,1,10.69,1,NA,NA,NA,NA,NA,NA,0.19,1,0.01,1,NA,NA,NA,NA,NA,NA
"14:50:00 28/11/1999",NA,NA,60,1,9.44,1,NA,NA,NA,NA,NA,NA,0.24,1,0.017,1,NA,NA,NA,NA,NA,NA
"15:00:00 02/04/1997",NA,NA,30,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1,NA,NA,NA,NA,7.24,1
"15:00:00 26/06/1997",NA,NA,52,1,7.3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,6.98,1
"15:03:00 31/10/1999",NA,NA,60,1,9.68,1,NA,NA,NA,NA,NA,NA,0.22,1,0.012,1,NA,NA,NA,NA,NA,NA
"15:16:00 01/08/1999",NA,NA,71,1,NA,NA,NA,NA,NA,NA,NA,NA,0.26,1,0.009,1,NA,NA,NA,NA,NA,NA
"15:45:00 24/02/1997",NA,NA,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,1,NA,NA,NA,NA,7.81,1
"15:50:00 20/02/1978",70,65,NA,NA,NA,NA,7.3,65,NA,180,NA,NA,NA,NA,NA,NA,5.2,65,26.5,65,NA,NA
"16:00:00 27/06/1997",NA,NA,92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,1,NA,NA,NA,NA,7.14,1
