"Date","Chlorophylla","Chlorophylla_Qual","ConductivityLab","ConductivityLab_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","Phaeophytin","Phaeophytin_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalPhosphorus","TotalPhosphorus_Qual","pHLab","pHLab_Qual"
"10:00:00 24/05/1995",3.4,65,56,65,0.004,65,0.2,65,0.18,65,2,65,NA,NA,0.01,65,7.4,65
"10:00:00 24/11/1993",1,65,43,65,0.003,65,0.2,65,0.05,65,2.3,65,NA,NA,0.02,65,6.9,65
"10:00:00 25/08/1993",4.7,65,45,65,0.003,65,0.2,65,0.007,65,0.8,65,NA,NA,0.01,65,7.4,65
"10:00:00 25/08/1994",1.5,65,50,65,0.003,65,0.2,65,0.03,65,9.3,65,NA,NA,0.01,65,7.1,65
"10:00:00 25/10/1995",5.5,65,41,65,0.003,65,0.2,65,0.01,65,2.2,65,NA,NA,0.01,65,7,65
"10:00:00 26/04/1994",0.5,65,59,65,0.009,65,0.2,65,0.02,65,21,65,NA,NA,0.01,65,7,65
"10:00:00 26/05/1994",2.3,65,60,65,0.007,65,0.2,65,0.02,65,10,65,NA,NA,0.01,65,7.2,65
"10:00:00 27/07/1994",0.5,65,51,65,0.004,65,0.2,65,0.02,65,11,65,NA,NA,0.01,65,7,65
"10:00:00 27/09/1995",1.9,65,37,65,0.004,65,0.1,65,0.02,65,4,65,NA,NA,0.009,65,7.3,65
"10:00:00 27/10/1993",5.7,65,43,65,0.003,65,0.4,65,0.05,65,2.2,65,NA,NA,0.02,65,7,65
"10:00:00 28/03/1996",12,65,61,65,0.003,65,0.3,65,0.007,65,3.4,65,NA,NA,0.007,65,7.5,65
"10:00:00 28/09/1993",1.5,65,43,65,0.003,65,0.3,65,0.05,65,1.2,65,NA,NA,0.04,65,6.9,65
"10:00:00 28/09/1994",5.3,65,48,65,0.006,65,0.1,65,0.003,65,2.8,65,NA,NA,0.009,65,7,65
"10:00:00 29/02/1996",3.8,65,61,65,0.003,65,0.2,65,0.03,65,2,65,NA,NA,0.01,65,7.3,65
"10:00:00 29/03/1995",0.5,65,58,65,0.003,65,0.2,65,0.003,65,32,65,NA,NA,0.04,65,7.3,65
"10:00:00 29/04/1996",7.6,65,56,65,0.004,65,0.3,65,0.003,65,2.8,65,NA,NA,0.02,65,7.3,65
"10:00:00 30/03/1994",0.5,65,56,65,0.008,65,0.2,65,0.003,65,11,65,NA,NA,0.01,65,7.3,65
"10:00:00 31/08/1995",2.6,65,38,65,0.003,65,0.2,65,0.03,65,3.7,65,NA,NA,0.01,65,7.3,65
