"Date","DissolvedOxygenppm","DissolvedOxygenppm_Qual","WaterTemperature","WaterTemperature_Qual"
"00:00:00 01/10/2010",8.817,2,13.4,2
"00:00:00 01/10/2011",8.707,2,15.2,2
"00:00:00 01/10/2012",10.203,2,12.9,2
"00:00:00 01/10/2013",9.792,2,14.9,2
"00:00:00 01/11/2005",7.041,100,NA,170
"00:00:00 01/11/2006",7.515,2,16.9,2
"00:00:00 01/11/2007",7.229,2,18.5,2
"00:00:00 01/11/2008",7.266,2,18.4,2
"00:00:00 01/11/2009",6.285,2,20,2
"00:00:00 01/11/2011",7.496,15,18,2
"00:00:00 01/11/2012",7.9,2,19.6,2
"00:00:00 01/11/2013",8.709,2,18.6,2
"00:00:00 01/12/2005",6.297,100,NA,170
"00:00:00 01/12/2006",NA,NA,21.4,2
"00:00:00 01/12/2007",6.509,2,21.7,2
"00:00:00 01/12/2008",8.007,2,NA,NA
"00:00:00 01/12/2009",6.947,2,20.8,2
"00:00:00 01/12/2010",7.653,2,18.8,2
"00:00:00 01/12/2011",8.753,50,18.8,2
"00:00:00 01/12/2012",6.144,2,23.6,2
"00:00:00 01/12/2013",9.32,2,18.7,2
"00:00:00 02/01/2006",NA,NA,NA,170
"00:00:00 02/01/2007",5.839,2,23.1,2
"00:00:00 02/01/2009",7.276,2,NA,NA
"00:00:00 02/01/2010",6.775,2,24.7,2
"00:00:00 02/01/2011",6.773,100,22.5,2
"00:00:00 02/01/2012",NA,161,25.3,2
"00:00:00 02/01/2013",5.285,2,22.8,2
"00:00:00 02/01/2014",7.2,15,20.8,2
"00:00:00 02/02/2006",NA,NA,NA,170
"00:00:00 02/02/2007",6.433,2,21.7,2
"00:00:00 02/02/2008",4.857,2,NA,NA
"00:00:00 02/02/2010",6.035,2,24.4,2
"00:00:00 02/02/2011",4.525,100,25.2,2
"00:00:00 02/02/2012",NA,161,22.4,2
"00:00:00 02/02/2013",NA,180,19.6,2
"00:00:00 02/02/2014",7.027,2,25.6,2
"00:00:00 02/03/2006",NA,180,NA,170
"00:00:00 02/03/2007",4.674,2,23.4,2
"00:00:00 02/03/2008",NA,NA,17.5,2
"00:00:00 02/03/2009",6.388,2,20.9,2
"00:00:00 02/03/2010",6.184,2,20.2,2
"00:00:00 02/03/2011",6.992,2,20,2
"00:00:00 02/03/2012",7.052,2,20.9,2
"00:00:00 02/03/2013",NA,NA,22.8,2
"00:00:00 02/04/2006",7.427,2,16.5,2
"00:00:00 02/04/2007",5.567,2,17.8,2
"00:00:00 02/04/2008",7.679,2,16,2
"00:00:00 02/04/2009",7.824,50,19.8,2
"00:00:00 02/04/2010",6.291,2,20.3,2
"00:00:00 02/04/2011",7.839,2,19.1,2
"00:00:00 02/04/2012",8.076,2,18.9,2
"00:00:00 02/04/2013",8.609,100,18.1,2
"00:00:00 02/05/2006",8.355,2,14.4,2
"00:00:00 02/05/2007",5.497,2,16.7,2
"00:00:00 02/05/2008",8.155,2,13.3,2
"00:00:00 02/05/2009",NA,NA,12.6,2
"00:00:00 02/05/2010",NA,180,15.2,2
"00:00:00 02/05/2011",9.004,2,16.6,2
"00:00:00 02/05/2012",9.054,2,15.1,2
"00:00:00 02/05/2013",9.64,15,12.1,2
"00:00:00 02/06/2006",8.826,2,12,2
"00:00:00 02/06/2007",8.297,2,10.2,2
"00:00:00 02/06/2008",8.005,2,11.4,2
"00:00:00 02/06/2009",8.61,2,12.4,2
"00:00:00 02/06/2010",9.123,2,13.2,2
"00:00:00 02/06/2011",9.873,2,12.1,2
"00:00:00 02/06/2012",9.376,15,11.7,2
"00:00:00 02/06/2013",9.404,15,12.2,2
"00:00:00 02/07/2006",10.3,2,8.9,2
"00:00:00 02/07/2007",10.521,2,NA,NA
"00:00:00 02/07/2008",8.725,2,10.9,2
"00:00:00 02/07/2009",9.405,2,11.5,2
"00:00:00 02/07/2010",9.959,15,9.6,2
"00:00:00 02/07/2011",11.14,2,8.4,2
"00:00:00 02/07/2012",11.137,15,9.3,2
"00:00:00 02/07/2013",8.697,15,9.6,2
"00:00:00 02/08/2006",8.207,2,10.5,2
"00:00:00 02/08/2007",10.456,2,8.8,2
"00:00:00 02/08/2008",9.916,2,10.6,2
"00:00:00 02/08/2009",9.596,2,11.4,2
"00:00:00 02/08/2010",10.808,15,9.9,2
"00:00:00 02/08/2011",10.101,2,9.9,2
"00:00:00 02/08/2013",10.883,2,9.1,2
"00:00:00 02/09/2006",8.258,2,12.9,2
"00:00:00 02/09/2007",8.372,2,12.2,2
"00:00:00 02/09/2008",9.893,2,12,2
"00:00:00 02/09/2009",8.118,2,11.9,2
"00:00:00 02/09/2010",10.796,15,10.1,2
"00:00:00 02/09/2011",8.137,2,12.4,2
"00:00:00 02/09/2013",10.826,2,11.8,2
"00:00:00 02/10/2006",10.058,2,15,2
"00:00:00 02/10/2007",8.328,2,14.4,2
"00:00:00 02/10/2008",7.707,2,14.2,2
"00:00:00 02/10/2009",8.288,2,14.9,2
"00:00:00 02/10/2010",8.581,2,13.7,2
"00:00:00 02/10/2011",8.91,2,14.8,2
"00:00:00 02/10/2012",10.642,2,12.5,2
"00:00:00 02/10/2013",9.706,2,14.8,2
"00:00:00 02/11/2005",6.683,100,NA,170
"00:00:00 02/11/2006",7.804,2,18.1,2
"00:00:00 02/11/2007",7.423,2,19.4,2
"00:00:00 02/11/2008",6.748,2,18.2,2
"00:00:00 02/11/2009",6.356,2,20.2,2
"00:00:00 02/11/2011",8.425,15,16.6,2
"00:00:00 02/11/2012",7.9,2,17.8,2
"00:00:00 02/11/2013",8.652,2,19.2,2
"00:00:00 02/12/2005",5.723,100,NA,170
"00:00:00 02/12/2006",6.271,2,22.1,2
"00:00:00 02/12/2007",6.408,2,20.8,2
"00:00:00 02/12/2008",7.988,2,18,2
"00:00:00 02/12/2009",7.228,2,20.4,2
"00:00:00 02/12/2010",7.499,2,19.5,2
"00:00:00 02/12/2011",9.124,50,18.2,2
"00:00:00 02/12/2012",5.456,2,22.6,2
"00:00:00 02/12/2013",9.109,2,19.8,2
"00:00:00 03/01/2006",NA,180,NA,170
"00:00:00 03/01/2007",6.209,2,23.4,2
"00:00:00 03/01/2010",7.709,2,22.7,2
"00:00:00 03/01/2011",6.929,100,22.8,2
"00:00:00 03/01/2012",NA,161,26.7,2
"00:00:00 03/01/2013",4.897,2,22.6,2
"00:00:00 03/01/2014",7.953,15,21.3,2
"00:00:00 03/02/2006",NA,NA,NA,170
"00:00:00 03/02/2007",6.052,2,22.6,2
"00:00:00 03/02/2008",4.818,2,25.3,2
"00:00:00 03/02/2010",5.923,2,24.7,2
"00:00:00 03/02/2011",4.307,100,25.6,2
"00:00:00 03/02/2012",NA,161,21.5,2
"00:00:00 03/02/2013",NA,180,21.3,2
"00:00:00 03/02/2014",6.979,2,25.7,2
"00:00:00 03/03/2006",NA,180,NA,170
"00:00:00 03/03/2007",4.69,2,23.9,2
"00:00:00 03/03/2008",6.582,2,18.4,2
"00:00:00 03/03/2009",6.213,2,21.2,2
"00:00:00 03/03/2010",5.907,2,20.7,2
"00:00:00 03/03/2011",5.789,2,19.6,2
"00:00:00 03/03/2012",7.25,2,19.9,2
"00:00:00 03/03/2013",NA,NA,21.8,2
"00:00:00 03/04/2006",7.468,2,NA,NA
"00:00:00 03/04/2007",5.502,2,18.5,2
"00:00:00 03/04/2008",NA,NA,15.6,2
"00:00:00 03/04/2009",7.796,50,20.3,2
"00:00:00 03/04/2010",6.008,2,19.4,2
"00:00:00 03/04/2011",7.565,2,18.2,2
"00:00:00 03/04/2012",7.887,2,19.3,2
"00:00:00 03/04/2013",8.608,100,17.9,2
"00:00:00 03/05/2006",8.399,2,14.7,2
"00:00:00 03/05/2007",5.256,2,16.9,2
"00:00:00 03/05/2008",8.52,2,13.2,2
"00:00:00 03/05/2009",8.926,2,12.7,2
"00:00:00 03/05/2010",NA,180,15.1,2
"00:00:00 03/05/2011",8.83,2,16.6,2
"00:00:00 03/05/2012",9.223,2,14.3,2
"00:00:00 03/05/2013",9.703,15,11.8,2
"00:00:00 03/06/2006",8.936,2,11.6,2
"00:00:00 03/06/2007",8.308,2,10.3,2
"00:00:00 03/06/2008",8.137,2,11,2
"00:00:00 03/06/2009",7.487,2,12.1,2
"00:00:00 03/06/2010",9.088,2,12.8,2
"00:00:00 03/06/2011",9.7,2,11.6,2
"00:00:00 03/06/2012",9.511,15,11.2,2
"00:00:00 03/06/2013",9.612,15,11.8,2
"00:00:00 03/07/2006",9.9,2,9.5,2
"00:00:00 03/07/2007",NA,NA,8.8,2
"00:00:00 03/07/2008",9.175,2,10.7,2
"00:00:00 03/07/2009",9.557,2,11.3,2
"00:00:00 03/07/2010",10.166,15,9.4,2
"00:00:00 03/07/2011",11.108,2,8.4,2
"00:00:00 03/07/2012",11.173,15,9.7,2
"00:00:00 03/07/2013",8.407,15,10.3,2
"00:00:00 03/08/2006",8.247,2,10.5,2
"00:00:00 03/08/2007",10.366,2,8.9,2
"00:00:00 03/08/2008",10.29,2,10.7,2
"00:00:00 03/08/2009",9.547,2,11.5,2
"00:00:00 03/08/2010",10.645,15,9.9,2
"00:00:00 03/08/2011",10.274,2,10,2
"00:00:00 03/08/2013",10.802,2,9.3,2
"00:00:00 03/09/2007",8.48,2,12.7,2
"00:00:00 03/09/2008",9.398,2,12.5,2
"00:00:00 03/09/2009",8.232,2,11.7,2
"00:00:00 03/09/2010",10.882,15,10.3,2
"00:00:00 03/09/2011",8.247,2,12,2
"00:00:00 03/09/2013",10.556,2,12.7,2
"00:00:00 03/10/2006",9.647,2,14.9,2
"00:00:00 03/10/2007",8.578,2,14.6,2
"00:00:00 03/10/2008",6.992,2,15.3,2
"00:00:00 03/10/2009",8.256,2,13.8,2
"00:00:00 03/10/2010",8.744,2,14.2,2
"00:00:00 03/10/2011",9.013,2,15,2
"00:00:00 03/10/2012",10.281,2,13.7,2
"00:00:00 03/10/2013",9.92,2,13.8,2
"00:00:00 03/11/2005",6.526,100,NA,170
"00:00:00 03/11/2006",6.823,2,18.3,2
"00:00:00 03/11/2007",7.716,2,18.1,2
"00:00:00 03/11/2008",6.229,2,19.2,2
"00:00:00 03/11/2009",6.128,2,20.4,2
"00:00:00 03/11/2011",8.153,15,17,2
"00:00:00 03/11/2012",8.2,2,17.9,2
"00:00:00 03/11/2013",8.395,2,20.4,2
"00:00:00 03/12/2005",5.65,100,NA,NA
"00:00:00 03/12/2006",6.679,2,21,2
"00:00:00 03/12/2007",8.007,2,20.9,2
"00:00:00 03/12/2008",7.67,2,17.9,2
"00:00:00 03/12/2009",7.41,2,21.2,2
"00:00:00 03/12/2010",7.146,2,19.7,2
"00:00:00 03/12/2011",8.595,50,18.9,2
"00:00:00 03/12/2012",5.368,2,22.5,2
"00:00:00 03/12/2013",7.699,2,22.7,2
"00:00:00 04/01/2006",NA,180,NA,170
"00:00:00 04/01/2007",5.88,2,24.1,2
"00:00:00 04/01/2010",7.243,2,21.4,2
"00:00:00 04/01/2011",7.485,100,22.4,2
"00:00:00 04/01/2012",NA,161,27.1,2
"00:00:00 04/01/2014",7.905,15,21.5,2
"00:00:00 04/02/2006",NA,NA,NA,170
"00:00:00 04/02/2007",6.171,2,23,2
"00:00:00 04/02/2008",4.578,2,25,2
"00:00:00 04/02/2010",5.512,2,25,2
"00:00:00 04/02/2011",4.488,100,24.8,2
"00:00:00 04/02/2012",NA,161,22.9,2
"00:00:00 04/02/2013",NA,180,22.2,2
"00:00:00 04/02/2014",7.331,2,23.9,2
"00:00:00 04/03/2006",NA,180,NA,170
"00:00:00 04/03/2007",4.307,2,23.7,2
"00:00:00 04/03/2008",5.961,2,19.5,2
"00:00:00 04/03/2009",6.538,2,21.1,2
"00:00:00 04/03/2010",5.832,2,21.3,2
"00:00:00 04/03/2011",7.086,2,19.2,2
"00:00:00 04/03/2012",7.447,2,19.4,2
"00:00:00 04/03/2013",NA,NA,22.2,2
"00:00:00 04/04/2006",7.61,2,16.1,2
"00:00:00 04/04/2007",5.437,2,18.4,2
"00:00:00 04/04/2008",7.635,2,14.8,2
"00:00:00 04/04/2009",7.167,50,19.4,2
"00:00:00 04/04/2010",6.427,2,19.1,2
"00:00:00 04/04/2011",7.89,2,17.8,2
"00:00:00 04/04/2012",7.598,2,19.8,2
"00:00:00 04/04/2013",8.807,100,17.7,2
"00:00:00 04/05/2006",8.442,2,14.4,2
"00:00:00 04/05/2007",5.516,2,16.3,2
"00:00:00 04/05/2008",8.485,2,12.8,2
"00:00:00 04/05/2009",8.984,2,12.5,2
"00:00:00 04/05/2010",7.307,2,15.3,2
"00:00:00 04/05/2011",9.155,2,16.6,2
"00:00:00 04/05/2012",9.091,2,14.2,2
"00:00:00 04/05/2013",9.566,15,12,2
"00:00:00 04/06/2006",9.146,2,11.4,2
"00:00:00 04/06/2007",NA,NA,10,2
"00:00:00 04/06/2008",7.768,2,NA,NA
"00:00:00 04/06/2009",7.263,2,12.8,2
"00:00:00 04/06/2010",9.453,2,12,2
"00:00:00 04/06/2011",9.727,2,11.6,2
"00:00:00 04/06/2012",9.347,15,11.5,2
"00:00:00 04/06/2013",9.72,15,11.8,2
"00:00:00 04/07/2006",9.7,2,NA,NA
"00:00:00 04/07/2007",NA,NA,8.8,2
"00:00:00 04/07/2008",9.325,2,NA,NA
"00:00:00 04/07/2009",9.708,2,11.3,2
"00:00:00 04/07/2010",10.273,15,9.7,2
"00:00:00 04/07/2011",10.976,2,8.6,2
"00:00:00 04/07/2012",11.308,15,9.4,2
"00:00:00 04/07/2013",8.217,15,10.1,2
"00:00:00 04/08/2006",8.087,2,10.7,2
"00:00:00 04/08/2007",10.877,2,8.4,2
"00:00:00 04/08/2008",10.463,2,10.6,2
"00:00:00 04/08/2009",9.698,2,10.9,2
"00:00:00 04/08/2010",10.684,15,10,2
"00:00:00 04/08/2011",10.446,2,9.9,2
"00:00:00 04/08/2013",10.721,2,9.3,2
"00:00:00 04/09/2006",7.89,2,13.1,2
"00:00:00 04/09/2007",8.39,2,12.4,2
"00:00:00 04/09/2008",9.804,2,12.5,2
"00:00:00 04/09/2009",7.646,2,12.8,2
"00:00:00 04/09/2010",10.868,15,10.1,2
"00:00:00 04/09/2011",8.256,2,12.3,2
"00:00:00 04/09/2013",10.586,2,12.2,2
"00:00:00 04/10/2006",10.135,2,14.9,2
"00:00:00 04/10/2007",8.327,2,14.3,2
"00:00:00 04/10/2008",NA,NA,15.1,2
"00:00:00 04/10/2009",8.523,2,14.5,2
"00:00:00 04/10/2010",8.407,2,15.3,2
"00:00:00 04/10/2011",8.716,2,15.1,2
"00:00:00 04/10/2012",9.921,2,14.7,2
"00:00:00 04/10/2013",10.135,2,13.7,2
"00:00:00 04/11/2005",6.669,100,NA,170
"00:00:00 04/11/2006",6.632,2,18.5,2
"00:00:00 04/11/2007",8.41,2,18.3,2
"00:00:00 04/11/2008",6.61,2,19.1,2
"00:00:00 04/11/2009",5.899,2,20.2,2
"00:00:00 04/11/2011",8.081,15,16.9,2
"00:00:00 04/11/2012",8,2,19.2,2
"00:00:00 04/11/2013",8.539,2,17.1,2
"00:00:00 04/12/2005",5.476,100,NA,170
"00:00:00 04/12/2006",6.488,2,20.5,2
"00:00:00 04/12/2007",8.106,2,NA,NA
"00:00:00 04/12/2008",7.141,2,19.1,2
"00:00:00 04/12/2009",7.191,2,20.6,2
"00:00:00 04/12/2010",7.293,2,20.2,2
"00:00:00 04/12/2011",7.466,50,19,2
"00:00:00 04/12/2012",5.18,2,22.6,2
"00:00:00 04/12/2013",7.988,2,22,2
"00:00:00 05/01/2006",NA,180,NA,170
"00:00:00 05/01/2007",5.85,2,25.1,2
"00:00:00 05/01/2010",6.878,2,22.3,2
"00:00:00 05/01/2011",7.541,100,22.7,2
"00:00:00 05/01/2012",NA,161,24,2
"00:00:00 05/01/2014",8.558,15,20.3,2
"00:00:00 05/02/2006",NA,NA,NA,170
"00:00:00 05/02/2007",5.89,2,NA,NA
"00:00:00 05/02/2008",6.038,2,25.7,2
"00:00:00 05/02/2010",4.9,2,24.9,2
"00:00:00 05/02/2011",4.37,100,23.8,2
"00:00:00 05/02/2012",NA,161,23.8,2
"00:00:00 05/02/2013",NA,180,22.4,2
"00:00:00 05/02/2014",7.783,2,22.9,2
"00:00:00 05/03/2006",NA,NA,NA,170
"00:00:00 05/03/2007",4.523,2,22.6,2
"00:00:00 05/03/2008",5.641,2,19.6,2
"00:00:00 05/03/2009",7.564,2,19.2,2
"00:00:00 05/03/2010",5.756,2,21.7,2
"00:00:00 05/03/2011",6.583,2,18.3,2
"00:00:00 05/03/2012",7.345,2,20.6,2
"00:00:00 05/04/2006",7.352,2,16.3,2
"00:00:00 05/04/2007",5.271,2,18,2
"00:00:00 05/04/2008",6.962,2,16,2
"00:00:00 05/04/2009",NA,180,18.1,2
"00:00:00 05/04/2010",6.944,2,19,2
"00:00:00 05/04/2011",7.216,2,17.3,2
"00:00:00 05/04/2012",7.81,2,19.7,2
"00:00:00 05/04/2013",8.505,100,17.2,2
"00:00:00 05/05/2006",8.486,2,NA,NA
"00:00:00 05/05/2007",NA,NA,16.1,2
"00:00:00 05/05/2008",NA,NA,12.8,2
"00:00:00 05/05/2009",NA,NA,12.8,2
"00:00:00 05/05/2010",7.344,2,14.8,2
"00:00:00 05/05/2011",9.181,2,16.3,2
"00:00:00 05/05/2012",9.259,2,13.9,2
"00:00:00 05/05/2013",9.829,15,11.6,2
"00:00:00 05/06/2006",9.356,2,11.1,2
"00:00:00 05/06/2007",8.629,2,9.4,2
"00:00:00 05/06/2008",7.899,2,12.4,2
"00:00:00 05/06/2009",6.839,2,12.8,2
"00:00:00 05/06/2010",9.418,2,12.1,2
"00:00:00 05/06/2011",9.854,2,11.5,2
"00:00:00 05/06/2012",9.182,15,11.7,2
"00:00:00 05/06/2013",9.728,15,12.2,2
"00:00:00 05/07/2006",9.7,2,9.7,2
"00:00:00 05/07/2007",10.453,2,NA,NA
"00:00:00 05/07/2008",9.175,2,10.3,2
"00:00:00 05/07/2009",10.059,2,11.2,2
"00:00:00 05/07/2010",10.179,15,10.3,2
"00:00:00 05/07/2011",10.744,2,9,2
"00:00:00 05/07/2012",11.443,15,9.3,2
"00:00:00 05/07/2013",8.026,15,10.1,2
"00:00:00 05/08/2006",8.127,2,10.5,2
"00:00:00 05/08/2007",NA,NA,8.4,2
"00:00:00 05/08/2008",10.537,2,11.1,2
"00:00:00 05/08/2009",10.149,2,11.2,2
"00:00:00 05/08/2010",10.822,15,10.5,2
"00:00:00 05/08/2011",10.418,2,10.1,2
"00:00:00 05/08/2013",10.54,2,10,2
"00:00:00 05/09/2006",8.856,2,12.7,2
"00:00:00 05/09/2007",8.699,2,11.8,2
"00:00:00 05/09/2008",10.51,2,12.5,2
"00:00:00 05/09/2009",7.959,2,12.6,2
"00:00:00 05/09/2010",10.555,15,10.5,2
"00:00:00 05/09/2011",8.265,2,12.9,2
"00:00:00 05/09/2013",10.616,2,12.5,2
"00:00:00 05/10/2006",10.224,2,NA,NA
"00:00:00 05/10/2007",8.676,2,14.8,2
"00:00:00 05/10/2008",5.764,2,14.8,2
"00:00:00 05/10/2009",8.891,2,13.7,2
"00:00:00 05/10/2010",8.071,2,16,2
"00:00:00 05/10/2011",8.319,2,15.1,2
"00:00:00 05/10/2012",9.46,2,15.1,2
"00:00:00 05/10/2013",10.049,2,14.1,2
"00:00:00 05/11/2005",6.711,100,NA,170
"00:00:00 05/11/2006",6.84,2,19.2,2
"00:00:00 05/11/2007",NA,NA,14.3,2
"00:00:00 05/11/2008",6.592,2,16.9,2
"00:00:00 05/11/2009",6.371,2,19.3,2
"00:00:00 05/11/2011",7.91,15,17.6,2
"00:00:00 05/11/2012",7.7,2,20,2
"00:00:00 05/11/2013",8.482,2,18.3,2
"00:00:00 05/12/2005",NA,180,NA,170
"00:00:00 05/12/2006",6.797,2,21,2
"00:00:00 05/12/2007",NA,NA,20.6,2
"00:00:00 05/12/2008",7.314,2,20.2,2
"00:00:00 05/12/2009",7.573,2,20.5,2
"00:00:00 05/12/2010",7.339,2,20.6,2
"00:00:00 05/12/2011",8.137,50,19,2
"00:00:00 05/12/2013",8.577,2,20.7,2
"00:00:00 06/01/2006",NA,180,NA,170
"00:00:00 06/01/2007",5.221,2,25.3,2
"00:00:00 06/01/2010",8.012,2,23.6,2
"00:00:00 06/01/2011",6.297,100,22.2,2
"00:00:00 06/01/2012",NA,161,24.4,2
"00:00:00 06/01/2014",8.711,15,21.3,2
"00:00:00 06/02/2006",NA,NA,NA,170
"00:00:00 06/02/2007",NA,NA,24.3,2
"00:00:00 06/02/2008",3.899,2,24.7,2
"00:00:00 06/02/2010",6.888,2,23.6,2
"00:00:00 06/02/2011",6.052,100,22.9,2
"00:00:00 06/02/2012",NA,161,22,2
"00:00:00 06/02/2013",NA,180,23.9,2
"00:00:00 06/02/2014",7.935,2,23.2,2
"00:00:00 06/03/2006",NA,180,NA,170
"00:00:00 06/03/2007",5.04,2,20.9,2
"00:00:00 06/03/2008",5.421,2,19.8,2
"00:00:00 06/03/2009",8.389,2,18.5,2
"00:00:00 06/03/2010",5.88,2,21.8,2
"00:00:00 06/03/2011",6.68,2,18.5,2
"00:00:00 06/03/2012",7.642,2,20.2,2
"00:00:00 06/04/2006",7.494,2,15.5,2
"00:00:00 06/04/2007",5.706,2,17.3,2
"00:00:00 06/04/2008",6.99,2,16.1,2
"00:00:00 06/04/2009",NA,NA,17.2,2
"00:00:00 06/04/2010",6.262,2,18.3,2
"00:00:00 06/04/2011",6.841,2,17.2,2
"00:00:00 06/04/2012",7.921,2,19.5,2
"00:00:00 06/04/2013",8.504,100,17.3,2
"00:00:00 06/05/2006",8.43,2,14.4,2
"00:00:00 06/05/2007",NA,NA,16.5,2
"00:00:00 06/05/2008",8.614,2,13.4,2
"00:00:00 06/05/2009",NA,NA,12.2,2
"00:00:00 06/05/2010",7.582,2,14.4,2
"00:00:00 06/05/2011",9.406,2,15.9,2
"00:00:00 06/05/2012",9.128,2,13.9,2
"00:00:00 06/05/2013",9.792,15,11.8,2
"00:00:00 06/06/2006",9.467,2,11.5,2
"00:00:00 06/06/2007",8.84,2,8.8,2
"00:00:00 06/06/2008",7.93,2,12.8,2
"00:00:00 06/06/2009",NA,NA,12.6,2
"00:00:00 06/06/2010",9.284,2,12.1,2
"00:00:00 06/06/2011",9.981,2,11.1,2
"00:00:00 06/06/2012",8.317,15,11.5,2
"00:00:00 06/06/2013",9.635,15,12,2
"00:00:00 06/07/2006",9.8,2,9.7,2
"00:00:00 06/07/2007",NA,NA,8.6,2
"00:00:00 06/07/2008",NA,NA,9.4,2
"00:00:00 06/07/2009",10.21,2,11.2,2
"00:00:00 06/07/2010",10.186,15,10,2
"00:00:00 06/07/2011",10.812,2,8.9,2
"00:00:00 06/07/2012",11.479,15,9,2
"00:00:00 06/07/2013",8.036,15,9.7,2
"00:00:00 06/08/2006",8.367,2,10.6,2
"00:00:00 06/08/2007",NA,NA,8.7,2
"00:00:00 06/08/2008",10.41,2,10.9,2
"00:00:00 06/08/2009",10.101,2,11.6,2
"00:00:00 06/08/2010",10.96,15,10.4,2
"00:00:00 06/08/2011",10.49,2,10,2
"00:00:00 06/08/2013",10.559,2,10.2,2
"00:00:00 06/09/2006",8.722,2,12.9,2
"00:00:00 06/09/2007",8.607,2,11.7,2
"00:00:00 06/09/2008",10.816,2,11.8,2
"00:00:00 06/09/2009",8.173,2,12.3,2
"00:00:00 06/09/2010",10.341,15,10.9,2
"00:00:00 06/09/2011",8.175,2,13.9,2
"00:00:00 06/09/2013",10.246,2,13.4,2
"00:00:00 06/10/2006",9.812,2,15.2,2
"00:00:00 06/10/2007",7.826,2,15.9,2
"00:00:00 06/10/2008",6.65,2,16.4,2
"00:00:00 06/10/2009",8.858,2,13.6,2
"00:00:00 06/10/2010",7.834,2,16,2
"00:00:00 06/10/2011",8.822,2,15.2,2
"00:00:00 06/10/2012",9.2,2,15.4,2
"00:00:00 06/10/2013",9.963,2,14.1,2
"00:00:00 06/11/2005",6.354,100,NA,170
"00:00:00 06/11/2006",6.549,2,19.6,2
